Name,Brand,Notes
Tihota Eau de Parfum,Indult," Vanilla bean, musks"
Sola Parfum,Di Ser," Lavender, Yuzu, Lemongrass, Magnolia, Geranium, Jasmine, Frankincense, Myrrh"
Kagiroi Parfum,Di Ser," Green yuzu, green shikuwasa, sansho seed, coriander, ylang-ylang, shiso, rosewood, vetiver, hinoki, cypriol, patchouli, agarwood"
Velvet Fantasy Eau de Parfum,Montale," tangerine,  pink pepper,  black coffee,  leather,  violet,  jasmine,  lily of the valley,  heliotrope powder,  vanilla,  amber, sandalwood,  toffee,  musk,  oakmoss"
A Blvd. Called Sunset Eau de Parfum,A Lab on Fire," Bergamot, almond, violet, jasmine, leather, sandalwood, vanilla, tonka"
Freckled and Beautiful Eau de Parfum,A Lab on Fire," Orange flower, neroli, honeysuckle, warm milk, pastry, salicylates, sandalwood, vanilla bean, heliotrope"
Exit the King Eau de Parfum,Etat Libre d'Orange," Timur JE, Soap Foam Accord (Aldehydes & Musk), Pink Pepper, Jasmine e-pure, Rose Superessence, Lily-of-the-valley Accord, Patchouli, Moss Absolute, Sandalwood Accord & Orcanox"
Eshu Extrait,PRIN," Tobacco, hay, elemi, copaiba, olibanum, nutmeg, black pepper, castoreum, atlas cedar, oakmoss, cognac, ambroxan, norlimbanol, cinnamon, cumin seed, ash"
Saringkarn Extrait,PRIN," Saffron, champaca, fir balsam, beeswax, amber, damask rose, rose de mai, tobacco, leather, dark chocolate, prune, oud, musk, oakmoss, ambrette, smoke, incense, ylang ylang"
Arsalan Parfum,PRIN," Cambodian oud, Trat oud, jasmin sambac, champaca, olibanum, turmeric, clove, caraway, cardamom, cinnamon, cumin, coriander, gardenia, opoponax, saffron, sandalwood, patchouli, musk"
Nocturnal Poetry Parfum,PRIN," Violet, champaca, rosewood, beeswax, frankincense, myrrh, coffee bean, rose, tobacco, hay, jasmine, leather, castoreum, hyrax, civet, musk, oud, turmeric, cumin"
Homa Parfum,PRIN," Cinnamon, ginger, black pepper, cardamom, cassia, cumin, turmeric, caraway, nutmeg, clove, saffron, hay, kaffir lime, oud, galbanum, ghee butter, jasmine, champaca, tuberose, beeswax, incense, myrrh, spikenard, costus, benzoin, ash, goat hair tincture, oud, mushroom, civet, hyrax"
Koala Extrait de Parfum,Zoologist," Eucalyptus, menthol honey gumdrops, mimosa, black tea, geranium, incense, spices, vetiver, musk, amber, oakmoss, vanilla, sandalwood"
L'Homme A La Rose Eau de Parfum,Maison Francis Kurkdjian," Grapefruit, Damascene rose, amber woods accord, sage, Centifolia rose, labdanum"
Rozu Eau de Parfum,Aesop," Rose, shiso, guaiac"
Champs Lunaires Eau de Toilette,Rogue Perfumery," Tuberose, White Rose Petals, Pomelo, Sandalwood, Coconut Milk, Musk"
Prends-Moi Eau de Parfum,Isabey," Bergamot, pink pepper, raspberry, rose, red satin lipstick, tuberose, cardamom, iris, cocoa, sandalwood, amber"
Eau de Cuisine Eau de Parfum,Hilde Soliani,"ocean, apricot, almond, fresh dairy, aromatic herbs, spices"
Disobbedienza Eau de Parfum,Hilde Soliani,"black rose, ash, champagne"
Vanille de Tahiti Eau de Parfum,Perris Monte Carlo," Absolute of Ylang Ylang, Absolute of Champaca, Vanilla of Tahiti CO2, Amber, Sandalwood, Musk"
Gris Charnel Eau de Parfum,BDK Parfums," Fig, Black tea, Cardamom essence, Absolute of iris, Bourbon, vetiver, Sandalwood from India, Absolute of Tonka bean"
Milk Musk Eau de Toilette,Molton Brown," pear, peach, musk, ambroxan, vanilla, white cedarwood, tonka bean"
Blackberry Woods Eau de Parfum,Shay & Blue," Blackberry, neroli, lemon leaves, cypress"
Lavande Romaine Eau de Parfum,Perris Monte Carlo," Lavender fine, Bleu Cedar, Cassis bourgeons, White Musk"
Celestial Eau de Parfum,Electimuss," Saffron, raspberry, black pepper, olibanum, Indian rose absolut, Bulgarian rose, pepper, cedar, Paraguan guaiac wood, tonka"
Puritas Eau de Parfum,Electimuss," Elemi, pink pepper, absinthe, olibanum, rose, Indian tuberose absolut, geranium, labdanum, patchouli, tonka and amber"
Thurible Eau de Parfum,Rook Perfumes," clove, ash, sage, black pepper, labdanum, incense, rose, patchouli, leather, ambergris and moss"
Suede Eau de Parfum,Rook Perfumes," suede, tobacco leaf, leather"
Amber Eau de Parfum,Rook Perfumes," saffron, smoke, incense, amber, maple, black musk, tonka bean and resins"
Interlude Black Iris Eau de Parfum,Amouage," Bergamot, rosemary, violet leaves, orris, amber, frankincense, cistus, myrrh, vanilla, leather, agarwood smoke, patchouli, sandalwood, cedar"
